Latitude,Longitude,Sport,LGA Name,Facility Name
-38.184952,146.010853,AFL,Baw Baw Shire Council,Darnum Recreation Reserve
-38.208602,146.058902,AFL,Baw Baw Shire Council,Dowton Park Recreation Reserve
-38.13238,145.85887,AFL,Baw Baw Shire Council,Drouin Recreation Reserve
-38.157589,145.942241,AFL,Baw Baw Shire Council,Eastern Park
-38.219723,145.91157,AFL,Baw Baw Shire Council,Ellinbank Recreation Reserve
-38.251238,145.822667,AFL,Baw Baw Shire Council,Hallora Recreation Reserve
-38.168923,145.937311,AFL,Baw Baw Shire Council,Logan Park
-38.116862,145.763789,AFL,Baw Baw Shire Council,Longwarry Recreation Reserve
-38.015807,145.957674,AFL,Baw Baw Shire Council,Neerim South Recreation Reserve
-38.290569,146.187541,AFL,Baw Baw Shire Council,Thorpdale Recreation Reserve
-38.207704,146.142568,AFL,Baw Baw Shire Council,Trafalgar Recreation Reserve
-38.1541,145.920212,AFL,Baw Baw Shire Council,Western Park Reserve
-38.071118,146.178569,AFL,Baw Baw Shire Council,Willow Grove Recreation Reserve
-38.135303,145.842993,Basketball,Baw Baw Shire Council,Bellbird Park Indoor Stadium
-37.956465,146.399734,Basketball,Baw Baw Shire Council,Bells Stadium
-38.016004,145.956411,Basketball,Baw Baw Shire Council,Neerim District recreation Centre
-38.144917,145.930688,Basketball,Baw Baw Shire Council,St Pauls Anglican Grammer 
-38.21363,146.158049,Basketball,Baw Baw Shire Council,Trafalgar High School
-38.16645,145.927108,Basketball,Baw Baw Shire Council,Warragul Leisure Centre
-38.240848,145.77789,Cricket,Baw Baw Shire Council,Athlone Recreation Reserve
-38.135303,145.842993,Cricket,Baw Baw Shire Council,Bellbird Park Recreation Reserve
-38.100272,145.939028,Cricket,Baw Baw Shire Council,Buln Buln Primary School
-38.097287,145.936979,Cricket,Baw Baw Shire Council,Buln Buln Recreation Reserve
-38.184952,146.010853,Cricket,Baw Baw Shire Council,Darnum Recreation Reserve
-38.208602,146.058902,Cricket,Baw Baw Shire Council,Dowton Park Recreation Reserve
-38.13238,145.85887,Cricket,Baw Baw Shire Council,Drouin Recreation Reserve
-38.14571,145.851613,Cricket,Baw Baw Shire Council,Drouin Secondary College
-38.157589,145.942241,Cricket,Baw Baw Shire Council,Eastern Park
-38.219723,145.91157,Cricket,Baw Baw Shire Council,Ellinbank Recreation Reserve
-38.251238,145.822667,Cricket,Baw Baw Shire Council,Hallora Recreation Reserve
-38.030964,145.907753,Cricket,Baw Baw Shire Council,Kydd Park Reserve
-38.203853,145.880519,Cricket,Baw Baw Shire Council,Lardner Recreation Reserve
-38.168923,145.937311,Cricket,Baw Baw Shire Council,Logan Park
-38.168923,145.937311,Cricket,Baw Baw Shire Council,Logan Park
-38.116862,145.763789,Cricket,Baw Baw Shire Council,Longwarry Recreation Reserve
-38.160869,145.914327,Cricket,Baw Baw Shire Council,Marist Sion College
-38.015807,145.957674,Cricket,Baw Baw Shire Council,Neerim South Recreation Reserve
-37.956002,146.400618,Cricket,Baw Baw Shire Council,Rawson Recreation Reserve (Dunstan Oval)
-38.144917,145.930688,Cricket,Baw Baw Shire Council,St Pauls Anglican Grammer 
-38.290569,146.187541,Cricket,Baw Baw Shire Council,Thorpdale Recreation Reserve
-38.21363,146.158049,Cricket,Baw Baw Shire Council,Trafalgar High School
-38.207704,146.142568,Cricket,Baw Baw Shire Council,Trafalgar Recreation Reserve
-38.159164,145.913787,Cricket,Baw Baw Shire Council,Warragul Regional College
-38.1541,145.920212,Cricket,Baw Baw Shire Council,Western Park Reserve
-38.071118,146.178569,Cricket,Baw Baw Shire Council,Willow Grove Recreation Reserve
-38.097287,145.936979,Netball,Baw Baw Shire Council,Buln Buln Recreation Reserve
-38.184952,146.010853,Netball,Baw Baw Shire Council,Darnum Recreation Reserve
-38.208602,146.058902,Netball,Baw Baw Shire Council,Dowton Park Recreation Reserve
-38.13238,145.85887,Netball,Baw Baw Shire Council,Drouin Recreation Reserve
-38.219723,145.91157,Netball,Baw Baw Shire Council,Ellinbank Recreation Reserve
-38.116862,145.763789,Netball,Baw Baw Shire Council,Longwarry Recreation Reserve
-38.015807,145.957674,Netball,Baw Baw Shire Council,Neerim South Recreation Reserve
-38.290569,146.187541,Netball,Baw Baw Shire Council,Thorpdale Recreation Reserve
-38.207704,146.142568,Netball,Baw Baw Shire Council,Trafalgar Recreation Reserve
-38.161803,145.923328,Netball,Baw Baw Shire Council,Warragul Netball Park
-38.1541,145.920212,Netball,Baw Baw Shire Council,Western Park Reserve
-38.162937,145.923101,Soccer,Baw Baw Shire Council,Baxter Reserve
-38.135303,145.842993,Soccer,Baw Baw Shire Council,Bellbird Park Recreation Reserve
-38.147815,145.931005,Soccer,Baw Baw Shire Council,Brooker Park
-38.164437,145.926676,Soccer,Baw Baw Shire Council,Geoff Watt Track
-38.207704,146.142568,Soccer,Baw Baw Shire Council,Trafalgar Recreation Reserve
-38.168296,145.93428,Soccer,Baw Baw Shire Council,Warragul Velodrome
-38.12713,145.852498,Tennis,Baw Baw Shire Council,Balmoral Park Reserve
-38.12713,145.852498,Tennis,Baw Baw Shire Council,Balmoral Park Reserve
-38.097287,145.936979,Tennis,Baw Baw Shire Council,Buln Buln Recreation Reserve
-38.208602,146.058902,Tennis,Baw Baw Shire Council,Dowton Park Recreation Reserve
-38.239945,145.936107,Tennis,Baw Baw Shire Council,Ellinbank Central Tennis Club
-38.251238,145.822667,Tennis,Baw Baw Shire Council,Hallora Recreation Reserve
-38.203853,145.880519,Tennis,Baw Baw Shire Council,Lardner Recreation Reserve
-38.130286,145.967312,Tennis,Baw Baw Shire Council,Lillico Tennis Club 
-38.116862,145.763789,Tennis,Baw Baw Shire Council,Longwarry Recreation Reserve
-38.211763,146.154839,Tennis,Baw Baw Shire Council,McGregor Park
